,the_snippet,the_headline,the_date,the_news_desk
154,"About 3,000 of Huma Abedin’s emails were released by the State Department on Friday. The president also accused his Justice Department of being a “deep state.”",Trump Accuses Former Clinton Aide of Failing to Follow Security Protocols,2018-01-03T03:40:03+0000,Washington
155,"The president’s tweet that he has a “much bigger” arsenal of nuclear weapons was met with dread and humor, of both the gallows and locker-room varieties.",Social Media Shudders After Trump Mocks North Korea’s ‘Button’,2018-01-03T05:45:23+0000,Foreign
156,Here’s what you need to know to start your day.,"Iran, North Korea, Donald Trump: Your Wednesday Briefing",2018-01-03T05:02:01+0000,NYTNow
157,"The boy, 16, was held by the police after they discovered his mother, father and sister and a family acquaintance shot dead in their home.",New Jersey Teenager in Custody After 4 Are Found Shot to Death in Home,2018-01-01T16:07:10+0000,Metro
158,Leaders in Beijing understand that Trump’s presidency is a “huge gift.”,How Trump Is Helping China,2018-01-02T13:04:29+0000,OpEd
159,The value of the digital currency jumped this afternoon after Mr. Thiel’s Founders Fund venture firm emerged as an investor.,Peter Thiel Is a Bitcoin Believer: DealBook Briefing,2018-01-02T12:55:41+0000,Business
160,"Studies point to a simple reason, the prices, not to the amount of care. And lowering prices would upset a lot of people in the health industry. ",Why the U.S. Spends So Much More Than Other Nations on Health Care,2018-01-02T08:30:25+0000,Upshot
161,An experimental court in Buffalo steers opioid users into treatment instead of jail. The judge uses his own recovery story as an example.,This Judge Has a Mission: Keep Defendants Alive,2018-01-03T10:30:14+0000,National
162,What does current research reveal about family estrangement?,Teaching Activities for: ‘Debunking Myths About Estrangement’,2018-01-03T09:00:00+0000,Learning
163,"The window for legislative action to protect undocumented immigrants brought to the country as children will close by the middle of January, three former officials said in a letter.",Ex-Homeland Security Officials Urge Faster Action on DACA,2018-01-03T11:00:15+0000,Washington
164,Lean people were especially responsive to exercise’s effects on the bacterial makeup of our guts.,Exercise Alters Our Microbiome. Is That One Reason It’s So Good for Us?,2018-01-03T11:00:02+0000,Well
165,Two new books by Kate Cole-Adams and Henry Jay Przybylo look at the mysteries of anesthesia.,What Happens When You Go Under,2018-01-03T10:00:16+0000,BookReview
166,"In a wide-ranging conversation, the stars discuss President Trump, the fallout from the Harvey Weinstein case and why they hadn’t worked together until “The Post.”",Meryl Streep and Tom Hanks on the #MeToo Moment and ‘The Post’,2018-01-03T10:00:20+0000,Arts&Leisure
167,"It could be the sharp urban-rural divide, worries about a breakdown in authority or scars from the 2009 uprising. But whatever the cause, residents of the capital are sitting this one out.","As Iran Erupts in Protest, Tehran Is Notably Quiet",2018-01-03T09:15:52+0000,Foreign
168,"Instead of revealing unseen order and predictability in the world, technology has made the world more volatile.","Expect 2018 to Be More Sane? Sorry, It’s Not Going to Happen",2018-01-03T10:00:31+0000,Business
169,Alison S.M. Kobayashi was determined to figure out who made a set of puzzling 1950s recordings. Her detective work led to a sneakily moving interactive play.,Review: Everyday Chatter Unveils a Mystery in ‘Say Something Bunny!’,2018-01-02T22:29:38+0000,Weekend
170,"The boy, 16, was held by the police after they discovered his mother, father and sister and a family acquaintance shot dead in their home.",New Jersey Teenager in Custody After 4 Are Found Shot to Death in Home,2018-01-01T16:07:10+0000,Metro
171,The value of the digital currency jumped this afternoon after Mr. Thiel’s Founders Fund venture firm emerged as an investor.,Peter Thiel Is a Bitcoin Believer: DealBook Briefing,2018-01-02T12:55:41+0000,Business
172,Leaders in Beijing understand that Trump’s presidency is a “huge gift.”,How Trump Is Helping China,2018-01-02T13:04:29+0000,OpEd
173,"Ms. Ellsworth is a performer whose ambivalence about performing is baked into the title of her new work, “The Rehearsal Artist.”","For Michelle Ellsworth, Practice Makes … More Practice",2018-01-02T17:46:19+0000,Culture
174,A spokesman for Prime Minister Benjamin Netanyahu disagrees with Roger Cohen’s “pessimism.”,Israel’s Bright Future,2018-01-02T20:08:35+0000,Letters
175,"A gelatin made from donkey hides is prized as a traditional Chinese remedy. Now slaughterhouses have opened in Africa, and domestic animals are disappearing from villages.","To Sate China’s Demand, African Donkeys Are Stolen and Skinned",2018-01-02T07:30:39+0000,Science
176,"Studies point to a simple reason, the prices, not to the amount of care. And lowering prices would upset a lot of people in the health industry. ",Why the U.S. Spends So Much More Than Other Nations on Health Care,2018-01-02T08:30:25+0000,Upshot
177,"Quotation of the Day for Tuesday, January 2, 2017.","Quotation of the Day: Skittish and Skulking, California’s ‘Fire Cats’ Prove Hard to Corral",2018-01-02T03:42:14+0000,Summary
178,Alison S.M. Kobayashi was determined to figure out who made a set of puzzling 1950s recordings. Her detective work led to a sneakily moving interactive play.,Review: Everyday Chatter Unveils a Mystery in ‘Say Something Bunny!’,2018-01-02T22:29:38+0000,Weekend
179,The actress is all about finding natural products that work.,Olivia Wilde Doesn’t Do a Painted-on Face,2018-01-02T20:13:41+0000,Styles
180,"About 3,000 of Huma Abedin’s emails were released by the State Department on Friday. The president also accused his Justice Department of being a “deep state.”",Trump Accuses Former Clinton Aide of Failing to Follow Security Protocols,2018-01-03T03:40:03+0000,Washington
181,"The president’s tweet that he has a “much bigger” arsenal of nuclear weapons was met with dread and humor, of both the gallows and locker-room varieties.",Social Media Shudders After Trump Mocks North Korea’s ‘Button’,2018-01-03T05:45:23+0000,Foreign
182,Here’s what you need to know to start your day.,"Iran, North Korea, Donald Trump: Your Wednesday Briefing",2018-01-03T05:02:01+0000,NYTNow
183,"President Trump again raised on Twitter the prospect of nuclear war, boasting that he commands a “more powerful” arsenal of devastating weapons than Kim Jong-un.",Trump Says His ‘Nuclear Button’ Is ‘Much Bigger’ Than North Korea’s,2018-01-03T01:46:18+0000,Washington
184,"Corrections appearing in print on Wednesday, January 3, 2018.","Corrections: January 3, 2018",2018-01-03T03:17:31+0000,Corrections
185,An experimental court in Buffalo steers opioid users into treatment instead of jail. The judge uses his own recovery story as an example.,This Judge Has a Mission: Keep Defendants Alive,2018-01-03T10:30:14+0000,National
186,Here’s what you need to know at the end of the day.,"Iran, North Korea, Orrin Hatch: Your Tuesday Evening Briefing",2018-01-02T23:15:13+0000,NYTNow
187,"This Somerset County township has a diverse housing stock, good schools and lots of farmland.","Living In ... Hillsborough, N.J.",2018-01-03T14:01:05+0000,Real Estate
188,,A Big Year for the Stock Market,2018-01-01T00:42:15+0000,Business Day
189,Nothing brings people together better than a warm fire on a cold day.,Shopping for Fireplaces and Wood Stoves,2018-01-01T10:00:41+0000,RealEstate
190,Meeting an agitated Shih Tzu in the park.,Walking the Dog,2018-01-02T23:00:01+0000,Metro
191,"Colleges have cut programs amid a drop in international enrollment tied to several factors, including more restrictive immigration policies.","As Flow of Foreign Students Wanes, U.S. Universities Feel the Sting",2018-01-02T23:15:24+0000,National
192,She didn’t just fight against police brutality. She also resisted the forced destruction of black families by the state.,Erica Garner and How America Destroys Black Families,2018-01-02T20:48:49+0000,OpEd
193,"Her Showtime series aims to paint her hometown in all its complexities and nuances, not just the unremitting violence depicted on the news.","With ‘The Chi,’ Lena Waithe Heads Home in Search of the Real Chicago",2018-01-02T21:19:57+0000,Arts&Leisure
194,Current and former dancers and executives at New York City Ballet say that some leaders were enamored with or fearful of Mr. Martins.,"Ballet Leaders Allowed Peter Martins to Act With Impunity, Dancers Say",2018-01-02T21:33:13+0000,Culture
195,"On average, injury and complaint rates are higher, and staffs smaller, at for-profit facilities that outsource goods and services to their owners’ other businesses.",Care Suffers as More Nursing Homes Feed Money Into Corporate Webs,2018-01-02T22:08:52+0000,SundayBusiness
196,These showcases tend to highlight the experimental and the offbeat.,Five Festivals for the Open-Minded Theater and Dance Lover,2018-01-02T22:40:03+0000,Culture
197,"When facilities are finished in 2023, they will improve efficiency at one of the country’s busiest airports, a hub for nine airlines with 329 daily flights.",Building a Modern Airport in Salt Lake City From One Well Past Its Prime,2018-01-02T19:24:10+0000,Business
198,"Councilman Corey Johnson seems intent to help the Council assert its independence from the mayor, bringing an ambition to stretch its power of legislation.",On Next Council Speaker’s Agenda: More Oversight and More Subway Aid,2018-01-02T21:34:09+0000,Metro
199,"The Twitter account of Beatrix von Storch, a member of the far-right Alternative for Germany, was temporarily suspended. Prosecutors are looking into her remarks.",German Lawmaker Who Called Muslims ‘Rapist Hordes’ Faces Sanctions,2018-01-02T21:56:28+0000,Foreign
200,"It built the city. Now, no matter the cost — at least $100 billion — the city must rebuild it to survive.",The Case for the Subway,2018-01-03T10:00:24+0000,Magazine
201,These showcases tend to highlight the experimental and the offbeat.,Five Festivals for the Open-Minded Theater and Dance Lover,2018-01-02T22:40:03+0000,Culture
202,"Councilman Corey Johnson seems intent to help the Council assert its independence from the mayor, bringing an ambition to stretch its power of legislation.",On Next Council Speaker’s Agenda: More Oversight and More Subway Aid,2018-01-02T21:34:09+0000,Metro
203,"The Twitter account of Beatrix von Storch, a member of the far-right Alternative for Germany, was temporarily suspended. Prosecutors are looking into her remarks.",German Lawmaker Who Called Muslims ‘Rapist Hordes’ Faces Sanctions,2018-01-02T21:56:28+0000,Foreign
204,"In his annual speech to the New York State Legislature, Gov. Andrew M. Cuomo intends to ask for bail to be eliminated for misdemeanors and nonviolent felonies.","Cuomo, in Bid to Help Poor, Proposes Ending Cash Bail for Minor Crimes",2018-01-03T04:00:24+0000,Metro
205,Readers respond to a David Brooks column about identity politics.,Is Identity Politics the New Tribalism?,2018-01-03T19:13:40+0000,Letters
206,"A home for Marc Bohan’s Dior sketches and letters to Oscar de la Renta has expanded from 3,500 square feet to 6,100 square feet.",Fashion Institute of Technology’s Library Gets a Makeover,2018-01-03T19:14:09+0000,Styles
207,"Federal Reserve officials agreed that additional rate hikes are coming but disagreed about the frequency of such increases, according to minutes of the December meeting.",Fed Plans to Raise Rates in 2018 but Lacks Consensus on Frequency,2018-01-03T19:40:26+0000,Business
